id originale,Cote,Auteur.trice,Titre,Année originale,Année,Genre textuel,Domaine,Page,cotexte gauche,pivot (cible),cotexte droit,-5,-4,-3,-2,-1,TEMPS (forme),pour/à (forme),SOI (forme),1,2,3,tri,tri_notes,TEMPS (u.l.),pour/à (u.l.),SOI (u.l.),TEMPS_nombre,SOI_personne,SOI_nombre,verbe combiné (u.l.),verbe_mode,négation
14,P252,HAMILTON Antoine,Les Quatre facardins,1719,1719,Ecrits fictionnels,non renseigné,183,"beaucoup plus courts que les miens ; du reste , quoi que je fusse alors toute aussi belle que vous me voyez , son visage me parut encore plus beau que le mien ; nous fûmes quelque",tems à nous,"regarder sans rien dire ; à la fin prenant la parole , bel étranger , me dit -il , si vous entendez la langue que je vous parle , je vous prie de m' enseigner où je pourrai trouver",mien,;,nous,fûmes,quelque,tems,à,nous,regarder,sans,rien,non,,temps,à,nous,sing,1,plur,,,
15,P253,HAMILTON Antoine,Histoire de Fleur d'Épine,1719,1719,Ecrits fictionnels,non renseigné,257,"d' un seul diamant , et contenoit une liqueur si brillante , que les yeux éblouissans de la princesse en furent eux -mêmes si éblouïs , qu' elle les ferma . Tarare prit ce",temps pour lui,"en mouiller les tempes et les paupières . Dès que cela fut fait , elle les ouvrit , et Tarare ayant fait ouvrir toutes les portes , le peuple fut témoin du miracle , et le",ferma,.,Tarare,prit,ce,temps,pour,lui,en,mouiller,les,,,,,,,,,,,
16,P256,HAMILTON Antoine,Le Bélier,1719,1719,Ecrits fictionnels,non renseigné,114,", ne voit -elle pas que dès qu' on m' aura envoyé un passeport , je me rendrai auprès du druide , et que comme la force de ses enchantemens dépend de sa vie , je prendrai mon",tems pour lui,"donner de mes deux cornes dans le ventre , et que l' ayant tué , rien ne me sera plus facile que de vous ouvrir une porte du château pour vous rendre maître de sa fille et de tous",vie,",",je,prendrai,mon,tems,pour,lui,donner,de,mes,,,,,,,,,,,
17,S233,"LONGEPIERRE Hilaire-Bernard, baron de",Électre,1721,1721,Ecrits fictionnels,non renseigné,50,"verrait gémir sous les coups , dans les chaînes , Et lasser cent bourreaux sans épuiser leurs gênes ! Brave -t-on les mortels , on ne peut fuir les dieux ! Pour moi , depuis un",temps à moi,"-même odieux , Craint de tous , je crains tout ; tout m' alarme et m' offense ! Je fuis jusqu' à la reine et je fuis sa présence . Et sans nos intérêts qui nous tiennent unis ,",Pour,moi,",",depuis,un,temps,à,moi,-même,odieux,",",,,,,,,,,,,
18,P282,MARIVAUX Pierre de,La Surprise de l'amour,1723,1723,Ecrits fictionnels,non renseigné,206,"ARLEQUIN . - Pour ne point tomber dans vos pattes , race de chats que vous êtes ; si vous étiez de bonnes gens , nous ne serions pas venus nous rendre ermites . Il n' y a plus de bon",temps pour moi,", et c' est vous qui en êtes la cause ; et malgré tout cela , il ne s' en faut de rien que je ne t' aime . La sotte chose que le coeur de l' homme ! COLOMBINE . - Cet original dispute",y,a,plus,de,bon,temps,pour,moi,",",et,c',,,,,,,,,,,
19,Q483,LESAGE Alain-René,Achmet et Almanzine,1728,1728,Ecrits fictionnels,non renseigné,465,"que je rions il rit comme des foux , comme des foux . Roxane . Chut ! Voici de la lumiére . Soliman vient ici . Adieu , nourrice . Pierrot , seul . Le coeur me bat. Retirons -nous un",moment pour nous,"remettre , et nous préparer à joüer notre personnage . ACTE 3 SCèNE 4 Soliman , Ali . Soliman . Que dis -tu , Ali , de la résistance d' Almanzine ? Ali . Je dis que , dans son",me,bat.,Retirons,-nous,un,moment,pour,nous,remettre,",",et,,,,,,,,,,,
20,P242,TERRASSON abbé Jean,"Sethos, histoire, ou Vie tirée des monumens anecdotes de l'ancienne Égypte, traduite d'un ancien manuscrit grec : t. 1",1731,1731,Ecrits fictionnels,littérature,342,", c' étoit à Giscon à parler le premier et il avoit commencé ainsi son discours . Mon frere , ces vénérables prêtres veulent que je paroisse à vos yeux dès ce",moment pour nous,"justifier l' un et l' autre ; moi , d' avoir commandé l' armée des capsenses contre les carthaginois , et vous d' avoir trempé vos mains dans mon sang . Avec quelque ardeur",à,vos,yeux,dès,ce,moment,pour,nous,justifier,l',un,,,,,,,,,,,
21,N945,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 3",1731,1731,Ecrits fictionnels,littérature,25,"la nuit , nous ne pûmes connoître parfaitement ce que c' étoit que ces fosses , et nous résolûmes d' attendre le jour pour nous en éclaircir . Nous passâmes le reste du",tems à nous,"reposer dans une prairie . Le jour étant arrivé , nous remarquâmes distinctement qu' il sortoit de la fumée de plusieurs de ces ouvertures , et que le fond en étoit noir et",Nous,passâmes,le,reste,du,tems,à,nous,reposer,dans,une,,,,,,,,,,,
22,N945,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 3",1731,1731,Ecrits fictionnels,littérature,94,"seroit plus fort qu' elle . Je pris cette occasion pour les prier de me laisser seul : si vous le croyez , leur dis -je , je vous demande en grace de m' abandonner pour quelque",tems à moi,"-même , et de me laisser faire tous mes efforts pour le rappeller . Quoique je n' eusse réussi qu' imparfaitement à leur cacher mon désespoir , ils connoissoient si bien",de,m',abandonner,pour,quelque,tems,à,moi,-même,",",et,non,,temps,à,moi,sing,1,sing,,,
23,P243,TERRASSON abbé Jean,"Sethos, histoire, ou Vie tirée des monumens anecdotes de l'ancienne Égypte, traduite d'un ancien manuscrit grec : t. 2",1731,1731,Ecrits fictionnels,littérature,730,"le mien . Cherès lui répondit : vous pouvez conserver l' espérance , mais bannissez l' agitation pour vous livrer tout entier aux soins de la guerre . Commençons dès ce",moment à nous,en entretenir . Là-dessus il lui communiqua le projet de prendre leur ennemi vivant . Il lui fit concevoir qu' une simple vicissitude d' attaques et de resistances,guerre,.,Commençons,dès,ce,moment,à,nous,en,entretenir,.,,,,,,,,,,,
24,N948,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 6",1731,1731,Ecrits fictionnels,littérature,125,", et je l' excitai par mes discours à s' ouvrir davantage ; mais s' étant réduit à me demander par de nouvelles instances ma compassion et mon secours , je pris ce",moment pour lui,"témoigner le regret que j' avois de ses peines , en lui déclarant que je n' esperois plus moi -même de le voir réussir dans une entreprise dont j' avois souhaité le",secours,",",je,pris,ce,moment,pour,lui,témoigner,le,regret,,,,,,,,,,,
25,N948,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 6",1731,1731,Ecrits fictionnels,littérature,234,". Elles écoutoient nos discours , elles y prenoient part fort souvent par leur réflexions ; et ma tendre complaisance qui n' étoit pas capable de se relâcher un",moment pour elles,", me faisoit recueillir autant de fruit de leur satisfaction que de la mienne . Je le repete , avec une certitude que je crois avoir acquise par l' expérience ; s' il y a",capable,de,se,relâcher,un,moment,pour,elles,",",me,faisoit,,,,,,,,,,,
26,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1731,1731,Ecrits fictionnels,littérature,79,"ferions à nos épouses . Connoissant comme je faisois son caractere , j' étois sûr qu' il eût préféré la mort à cette espèce de châtiment . Nous ne perdîmes point de",tems à nous,"armer , et nous ne nous contentâmes point de prendre des pistolets comme la première fois , nous prîmes chacun une épée et un fusil . Nous sortîmes du magasin en bon ordre",Nous,ne,perdîmes,point,de,tems,à,nous,armer,",",et,,,,,,,,,,,
27,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1731,1731,Ecrits fictionnels,littérature,100,"au dernier désespoir ! Il tourna la tête , pour nous dire qu' il étoit affligé de notre douleur , et la nécessité où il étoit d' obéir au consistoire . Nous prîmes ce",moment pour nous,"jetter tous trois à genoux , et nos prieres furent si touchantes , qu' il est impossible qu' il les ait entendues sans compassion , mais étant bientôt entré dans l'",consistoire,.,Nous,prîmes,ce,moment,pour,nous,jetter,tous,trois,,,,,,,,,,,
28,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1731,1731,Ecrits fictionnels,littérature,132,"être effrayés . Quoique nuds , la plûpart avoient des armes . C' étoient des arcs et de grands bâtons pointus , à - peu - près semblables à nos piques . Ils furent quelque",tems à nous,"considérer , sans faire le moindre mouvement . Leur embarras étoit peut-être égal au nôtre , car nous demeurâmes de notre côté aussi immobiles qu' eux . Cependant",piques,.,Ils,furent,quelque,tems,à,nous,considérer,",",sans,,,,,,,,,,,
29,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1731,1731,Ecrits fictionnels,littérature,161,"et d' où nous sommes partis . Je l' ai satisfait , et il m' a ordonné de me retirer . Ce récit fit renaître l' espérance et la joie dans mon coeur . Nous ne perdîmes point un",moment pour nous,"éloigner . Le seul chagrin qui me resta jusqu' à Jamestown , me vint du souvenir de Madame Lallin , que je croyois toujours entre les mains de son ravisseur . Je la",Nous,ne,perdîmes,point,un,moment,pour,nous,éloigner,.,Le,,,,,,,,,,,
30,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1731,1731,Ecrits fictionnels,littérature,178,"et sa suite , car je juge par quelques-unes de leurs réponses , qu' ils n' ont point de guerre avec leurs voisins . Ce bon esclave m' exhorta là-dessus à ne pas perdre de",tems pour nous,"éloigner , et à profiter même de la nuit , qui n' étoit point si obscure qu' elle pût nous empêcher d' avancer . Ce récit me jetta dans une consternation inexprimable .",à,ne,pas,perdre,de,tems,pour,nous,éloigner,",",et,,,,,,,,,,,
31,N944,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 2",1731,1731,Ecrits fictionnels,littérature,413,"au fond du coeur d' une scene si touchante , et qui sçavoit mieux que nous l' extrémité du péril où étoit mylord , nous exhortoit à nous retirer pendant quelques",momens pour lui,"laisser rappeller un peu de tranquillité . C' étoit mon dessein ; je fis même un effort pour lui dire que nous espérions pour sa vie plus que lui -même , et que nous",à,nous,retirer,pendant,quelques,momens,pour,lui,laisser,rappeller,un,,,,,,,,,,,
32,R286,PRÉVOST L'Abbé ,Histoire du Chevalier des Grieux et de Manon Lescaut,1731,1731,Ecrits fictionnels,non renseigné,165,"de lui parler , est un besoin d' argent , que vous venez de perdre le vôtre au jeu , et que vous avez joué beaucoup plus sur votre parole , avec le même malheur . Il lui faudra du",temps pour vous,"mener à son coffre-fort , et j' en aurai suffisamment pour exécuter mon dessein . M. de T. . . Suivit cet arrangement de point en point . Je le laissai dans un cabaret , où il",.,Il,lui,faudra,du,temps,pour,vous,mener,à,son,non,,temps,pour,vous,sing,2,?,,,
33,N943,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 1",1731,1731,Ecrits fictionnels,littérature,62,ouvrira -t-elle pour me recevoir dans mon dernier asile ? Il manque quelque chose à la faveur qu' elle nous fait ; elle nous a ouvert son sein ; que ne le fermoit -elle au même,moment pour nous,"servir de tombeau ! J' entrepris de la consoler . Ce n' est pas la vie , lui dis -je , qu' il faut haïr , je l' ai appris de vous -même , ce ne sont que les miseres ausquelles elle",le,fermoit,-elle,au,même,moment,pour,nous,servir,de,tombeau,,,,,,,,,,,
34,N943,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 1",1731,1731,Ecrits fictionnels,littérature,200,"ému du ton dont elle avoit parlé . Je la regardai ; nos yeux se rencontrerent , et par un mouvement qui se conçoit mieux qu' il ne s' exprime , nous demeurâmes ainsi quelque",tems à nous,"considérer avec une tendre langueur . Elle baissa enfin la vue en rougissant , comme si elle eût eu quelque honte de ce qui venoit de lui arriver . Pour moi qui me sentis",",",nous,demeurâmes,ainsi,quelque,tems,à,nous,considérer,avec,une,non,,temps,à,nous,sing,1,plur,,,
35,N943,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 1",1731,1731,Ecrits fictionnels,littérature,220,"! Il y étoit incognito . Sa suite ne surpassoit pas beaucoup celle de Mylord Axminster , qui avoit pris à Rouen quatre laquais et un écuyer . Nous n' employâmes qu' un",moment à nous,"remettre des fatigues de la journée . Mylord avoit un empressement d' embrasser les genoux de son maître , qui ne lui permit pas d' attendre au lendemain . Il ne l' avoit",Nous,n',employâmes,qu',un,moment,à,nous,remettre,des,fatigues,,,,,,,,,,,
36,N943,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 1",1731,1731,Ecrits fictionnels,littérature,241,", et j' y demeurai en silence , pendant que Madame Riding entreprit ma justification . Elle parut extrêmement satisfaite d' un éclaircissement si peu attendu . Je pris ce",moment pour lui,"dire mille choses touchantes sur les peines que la seule crainte de mériter sa froideur étoit capable de me causer . Je m' attendris jusqu' à verser quelques larmes , et",attendu,.,Je,pris,ce,moment,pour,lui,dire,mille,choses,non,,moment,pour,lui,sing,3,sing,,,
37,N943,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 1",1731,1731,Ecrits fictionnels,littérature,354,maitresse de mon coeur . J' avoue que je commençai alors à me repentir du conseil que j' avois donné à Monsieur Gelin . J' aurois souhaité de pouvoir l' entretenir un,moment pour lui,"faire reprendre ses premieres résolutions . L' amour me fit sentir tout d' un coup qu' il avoit attaché le bonheur de ma vie à ce qu' il m' avoit fait voir , et que ce n' étoit",de,pouvoir,l',entretenir,un,moment,pour,lui,faire,reprendre,ses,,,,,,,,,,,
38,N943,PRÉVOST L'Abbé ,"Le Philosophe anglois ou Histoire de Monsieur Cleveland, fils naturel de Cromwell : t. 1",1731,1731,Ecrits fictionnels,littérature,401,"- tôt . On me fit entrer dans une salle , où je fus surpris de trouver mes cinq compagnons . Ils me dirent qu' on les avoit fait avertir comme moi de s' y rendre . Nous eûmes un",moment pour nous,"entretenir . Je leur racontai ce que j' avois appris de Madame Eliot , et je leur fis remarquer les conséquences qu' ils en devoient tirer pour eux -mêmes . Madame Eliot ,",rendre,.,Nous,eûmes,un,moment,pour,nous,entretenir,.,Je,,,,,,,,,,,
39,N776,DESTOUCHES Philippe,Le Glorieux,1732,1732,Ecrits fictionnels,non renseigné,139,"êtes son père . LYCANDRE relève le Comte et l' embrasse . En sondant votre coeur , j' ai frémi , j' ai tremblé . Mais , malgré votre orgueil , la nature a parlé . Qu' en ce",moment pour moi,"ce triomphe a de charmes ! Je dois donc maintenant terminer vos alarmes , Oublier vos écarts qui sont assez punis . Mon fils , rassurez -vous . Nos malheurs sont finis . Le",parlé,.,Qu',en,ce,moment,pour,moi,ce,triomphe,a,,,,,,,,,,,
40,N986,LESAGE Alain-René,Histoire de Guzman d'Alfarache : t. 1,1732,1732,Ecrits fictionnels,littérature,76,"c' est s' abuser soi -même . Qui mal fait , mal trouvera . "" heureusement pour l' ânier et pour moi , l' hôte , manquant d' haleine , fut obligé de s' arrêter là . Je saisis ce",moment pour lui,"demander s' il n' avait point de fruits . Il répondit qu' il lui était arrivé depuis peu de très - bonnes olives . Tandis qu' il nous en alla chercher , mon camarade acheva",là,.,Je,saisis,ce,moment,pour,lui,demander,s',il,,,,,,,,,,,
41,S835,LESAGE Alain-René,Histoire de Gil Blas de Santillane : Livres 1 - 12,1732,1732,Ecrits fictionnels,non renseigné,302,"du Saint-Office . Nous nous habillâmes aussi , don Raphaël et moi , de façon que nous ne ressemblions point mal aux greffiers et aux alguazils . Nous employâmes bien du",temps à nous,"déguiser , et il était plus de deux heures après midi , lorsque nous sortîmes du bois pour nous rendre à Xelva . Il est vrai que rien ne nous pressait , et que nous ne devions",.,Nous,employâmes,bien,du,temps,à,nous,déguiser,",",et,,,,,,,,,,,
42,N648,CRÉBILLON Claude-Prosper JOLYOT de,Lettres de la marquise de M*** au comte de R***,1732,1732,Ecrits fictionnels,non renseigné,410,"faites , je ne puis . Si vous voulez venir ce soir chez moi , vous m' y trouverez ; cependant je n' y serai point seule : je vous aime , et je craindrois d' employer plus de",tems à vous,"le prouver qu' à vous le dire . Lettre 23 . Non pas , s' il vous plaît monsieur le comte ; ne nous brouillons plus , il m' en coûte trop en raccommodemens : encore un , je ne",craindrois,d',employer,plus,de,tems,à,vous,le,prouver,qu',,,,,,,,,,,
43,N823,VOLTAIRE ,Zaïre,1732,1732,Ecrits fictionnels,non renseigné,90,". Que dis -je ? ces moments perdus dans mon conseil , Ont de ce grand hymen suspendu l' appareil : D' une heure encor , ami , mon bonheur se diffère ; Mais j' emploierai du moins ce",temps à lui,"complaire . Zaïre ici demande un secret entretien Avec ce Nérestan , ce généreux chrétien ... CORASMIN Et vous avez , Seigneur , encor cette indulgence ? OROSMANE Ils",j',emploierai,du,moins,ce,temps,à,lui,complaire,.,Zaïre,,,,,,,,,,,
44,Q256,MARIVAUX Pierre de,L'Heureux stratagème,1733,1733,Ecrits fictionnels,non renseigné,97,"ridicule , que j' ai cent fois raillé moi -même , et qui me reste à la place du plus aimable homme du monde . Ah ! que je suis belle à présent ! LISETTE . - Ne perdez point le",temps à vous,"affliger , Madame . Dorante ne sait pas que vous l' aimez encore . Le laissez -vous à la Marquise ? Voulez -vous tâcher de le ravoir ? Essayez , faites quelques démarches ,",-,Ne,perdez,point,le,temps,à,vous,affliger,",",Madame,non,,temps,à,vous,sing,2,?,,,
45,N955,CRÉBILLON Claude-Prosper JOLYOT de,L'Écumoire ou Tanzaï et Néadarmé : histoire japonaise,1734,1734,Ecrits fictionnels,non renseigné,200,"s' y trouvoient enveloppées , qu' il seroit obligé de rendre la beauté à la plus grande partie d' entre elles , sans en exiger aucune soumission . Qu' il falloit prendre ce",tems pour lui,"envoyer la princesse , et qu' elle en seroit quitte à meilleur marché . Eh oui ! Dit Neadarné , j' en reviendrai plus belle , mais qui me rendra ce que Concombre m' a fait",Qu',il,falloit,prendre,ce,tems,pour,lui,envoyer,la,princesse,non,,temps,pour,lui,sing,3,sing,,,
46,N955,CRÉBILLON Claude-Prosper JOLYOT de,L'Écumoire ou Tanzaï et Néadarmé : histoire japonaise,1734,1734,Ecrits fictionnels,non renseigné,213,"leur force . Je sçais même que quelquefois il fait danser devant lui ce malheureux prince , et lui commande des chansons . Jonquille vous donnera des fêtes : saisissez ce",moment pour lui,"demander la liberté de mon amant : n' accordez , s' il se peut , rien à son amour , qu' il ne me rende l' objet du mien . S' il vous le refuse , prenez cette pantoufle . En cet",des,fêtes,:,saisissez,ce,moment,pour,lui,demander,la,liberté,,,,,,,,,,,
47,N926,MARIVAUX Pierre de,Le Paysan parvenu : 1re - 4e partie,1734,1734,Ecrits fictionnels,non renseigné,120,"nous devions être mariés cette nuit , mais nous ne le serons pas , La Vallée , ce n' est que pour demain . Va -t'en donc . Cathos alors avait le dos tourné , et je profitai de ce",moment pour lui,"baiser la main , galanterie que j' avais déjà vu faire , et qu' on apprend aisément ; la mienne me valut encore un soupir de sa part , et puis je me levai et lui donnai le",et,je,profitai,de,ce,moment,pour,lui,baiser,la,main,,,,,,,,,,,
48,Q297,MARIVAUX Pierre de,La Mère confidente,1735,1735,Ecrits fictionnels,non renseigné,273,", Dorante ; épargnez -moi cette démarche , c' est abuser de ma tendresse : en vérité , respectez ce que je vous dis . DORANTE . - Vous nous avez trahis ; il ne nous reste qu' un",moment à nous,"voir , et ce moment décide de tout . ANGÉLIQUE , combattue . - Dorante , je ne saurais m' y résoudre . DORANTE . - Il faut donc vous quitter pour jamais . ANGÉLIQUE . - Quelle",ne,nous,reste,qu',un,moment,à,nous,voir,",",et,,,,,,,,,,,
49,P245,MOUHY Charles Fieux de,La Paysanne parvenue ou les Mémoires de Mme la Marquise de L. V. : t. 1,1735,1735,Ecrits fictionnels,littérature,60,"promener dans un petit bois , sa tante , elle et moi ; nous nous avançâmes dans une allée faite exprès pour la chasse du cerf ; Mlle Duparc lisoit , et nous profitâmes de ce",tems pour nous,promener seules : la conversation tomba insensiblement sur le chapitre de ma marraine ; elle m' aprit que depuis quelques années elle ne vivoit pas en bonne intelligence,et,nous,profitâmes,de,ce,tems,pour,nous,promener,seules,:,,,,,,,,,,,
